Model_Name,Mean_RMSE,Std_RMSE,Mean_MASE,Std_MASE,Origins_Count
LightGBM,26.890904835246015,10.665819723454804,3.0245872850706337,1.1124754015358336,6
Naive Baseline,31.81773971563403,23.85407139877323,3.6258038513511477,2.791514383904941,6
"SARIMA (0,1,0)",31.81773971563403,23.85407139877323,3.6258038513511477,2.791514383904941,6
Exponential Smoothing (ETS),33.676527677334356,26.285600624174595,3.8211252916256027,3.0974953028486096,6
Prophet,34.69995901418955,12.811166758841395,4.066227360098504,1.6729485447195178,6
State Space,36.39546781165264,25.779242699113176,4.104351234423405,3.070377197785193,6
XGBoost,43.387706626606764,22.47074465564896,4.95862097931903,2.480675108954021,6
CatBoost,50.729713029079136,23.552562138055457,5.938006916134864,2.6199600815173296,6
