Model,RMSE,MAE,MAPE,sMAPE,MASE,Directional_Accuracy,R2
Naive Baseline,92.96403502260426,79.71805330097088,19.984852742685593,22.916958261623847,10.296014299302009,3.414634146341464,-2.7669259736311465
"SARIMA (0,1,0)",92.96403502260426,79.71805330097088,19.984852742685593,22.916958261623847,10.296014299302009,3.414634146341464,-2.7669259736311465
Exponential Smoothing (ETS),139.5123505563646,122.2000705540218,30.909433250322504,38.256167861517326,15.782794758544357,45.85365853658537,-7.483644593911187
Prophet (No Seasonality),48.50271397493498,37.903573892500894,10.503300898755013,9.77118757890525,4.895449934263342,50.73170731707317,-0.025390371310148874
State Space (Structural),139.51203644482086,122.19978877156517,30.909360763971527,38.25605691378644,15.782758364828219,45.85365853658537,-7.4836063921650435
XGBoost,14.096461846183056,10.86765654742491,2.8257032925573102,2.831365856300063,1.4230868314117036,55.60975609756098,0.9133881340942319
LightGBM,16.443623615388013,13.466781320852581,3.513340015755648,3.5466970802488182,1.763434377556532,44.87804878048781,0.882143860998314
CatBoost,16.550917044037092,13.022497751771834,3.4937724902581846,3.561903694100873,1.705256784824158,51.21951219512195,0.8806008381220763
