Model,RMSE,MAE,MAPE
Naive Baseline,92.81598356820467,79.66570215656567,19.98513713950862
SARIMA,92.81598356820467,79.66570215656567,19.98513713950862
XGBoost,16.532353678934328,13.072876000937105,3.526569606856314
ETS (Additive Trend),139.10023796513022,121.97709924156266,30.87655412842148
ETS (Multiplicative Trend),127.42221355813957,111.6841423375019,28.241129027996788
State Space (Local Level),92.81598357017158,79.66570215878906,19.985137140107227
State Space (Local Linear Trend),139.1013268390801,121.97807718120947,30.87680594726786
