Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,MA_20,MA_200,Volatility_20,Close_Ratio,Extreme_Movement
2020-10-19,537.070007,541.799988,525.380005,530.719971,530.719971,7567500,,,,,,False
2020-10-20,528.140015,533.780029,522.26001,525.419983,525.419983,10047200,-0.9986411459161015,,,,0.990013588540839,False
2020-10-21,501.029999,506.850006,488.25,489.049988,489.049988,17405700,-6.922080654857776,,,,0.9307791934514222,False
2020-10-22,494.690002,495.140015,482.0,485.230011,485.230011,6997900,-0.7811015425277956,,,,0.992188984574722,False
2020-10-23,488.109985,490.059998,481.350006,488.279999,488.279999,4927900,0.6285654083337366,,,,1.0062856540833374,False
2020-10-26,487.029999,496.820007,478.899994,488.23999,488.23999,6186100,-0.008193864193073441,,,,0.9999180613580693,False
2020-10-27,490.01001,490.48999,482.929993,488.929993,488.929993,3627200,0.14132455639286334,,,,1.0014132455639286,False
2020-10-28,486.359985,494.0,483.279999,486.23999,486.23999,5992700,-0.5501816289679051,,,,0.994498183710321,False
2020-10-29,488.5,513.900024,479.339996,504.209991,504.209991,11120700,3.6957061059498697,,,,1.0369570610594987,False
2020-10-30,502.01001,505.880005,472.209991,475.73999,475.73999,7807900,-5.646457132579908,,,,0.9435354286742009,False
2020-11-02,478.869995,486.299988,475.0,484.119995,484.119995,4408200,1.761467435184505,,,,1.017614674351845,False
2020-11-03,484.929993,495.309998,478.76001,487.220001,487.220001,3690200,0.6403383524780981,,,,1.006403383524781,False
2020-11-04,495.359985,507.730011,493.980011,496.950012,496.950012,5137300,1.9970467099112321,,,,1.0199704670991123,False
2020-11-05,506.559998,518.72998,503.450012,513.76001,513.76001,5372800,3.382633583677208,,,,1.033826335836772,False
2020-11-06,515.0,515.210022,502.51001,514.72998,514.72998,4236300,0.18879826789164333,,,,1.0018879826789164,False
2020-11-09,485.540009,495.850006,467.26001,470.5,470.5,10419700,-8.592850954591757,,,,0.9140714904540824,False
2020-11-10,470.950012,484.600006,463.410004,480.23999,480.23999,8306100,2.0701360255047874,,,,1.0207013602550479,False
2020-11-11,483.0,491.679993,478.26001,490.76001,490.76001,5460500,2.190575591174748,,,,1.0219057559117475,False
2020-11-12,491.0,496.519989,480.429993,486.769989,486.769989,5063700,-0.8130289588998973,,,,0.991869710411001,False
2020-11-13,486.769989,488.940002,477.799988,482.839996,482.839996,3002700,-0.8073614004169838,493.49749445,,,0.9919263859958302,False
2020-11-16,480.0,485.579987,477.299988,479.100006,479.100006,3953600,-0.7745816483686663,490.9164962,,3.206604635041005,0.9922541835163133,False
2020-11-17,480.119995,487.51001,478.850006,480.630005,480.630005,3698100,0.3193485662364992,488.6769972999999,,3.208492587348442,1.003193485662365,False
2020-11-18,481.950012,488.609985,477.720001,481.790009,481.790009,3629200,0.24135072465982788,488.3139983499999,,2.8173904627881496,1.0024135072465983,False
2020-11-19,482.0,487.799988,480.470001,484.670013,484.670013,2254700,0.5977716320804793,488.28599844999997,,2.815063144723493,1.0059777163208048,False
2020-11-20,485.220001,494.76001,481.570007,488.23999,488.23999,4253400,0.7365788896042114,488.283998,,2.8163689334492092,1.0073657888960421,False
2020-11-23,490.459991,491.149994,475.839996,476.619995,476.619995,5416600,-2.379976085121571,487.70299825,,2.867902442240181,0.9762002391487843,False
2020-11-24,478.839996,484.049988,475.890015,482.880005,482.880005,3550500,1.3134174112858998,487.40049884999996,,2.8845917429892958,1.013134174112859,False
2020-11-25,485.130005,486.899994,478.920013,485.0,485.0,3598600,0.4390314318357458,487.33849935,,2.883529511243366,1.0043903143183575,False
2020-11-27,486.579987,493.25,481.850006,491.359985,491.359985,2805800,1.3113371134020557,486.69599904999995,,2.771003223919525,1.0131133711340206,False
